session_id,station_id,operator,city,latitude,longitude,station_type,connector_type,port_count,session_start,session_end,duration_min,energy_kw,price_paid_inr,user_type,vehicle_type,payment_method,weather,weekday,tariff_inr_per_kwh
MS_S_00024,MS-8811,Private-Operator-1,Mumbai,19.087737,72.921509,AC Slow,CCS,2,04-06-2025 16:05,04-06-2025 17:22,77,6.15,76.44,Private,Three-wheeler,Card,Sunny,Wednesday,12.43
MS_S_00025,MS-2964,Private-Operator-1,Solapur,17.661893,75.89633,AC Slow,CCS,3,08-07-2025 19:02,08-07-2025 22:10,188,5.49,51.11,Commercial,Four-wheeler,Card,Sunny,Tuesday,9.31
MS_S_00026,MS-4910,Reliance BP,Aurangabad,19.854954,75.352772,DC Fast,Bharat DC-001,1,09-06-2025 21:41,09-06-2025 22:10,29,33.17,495.56,Private,Two-wheeler,UPI,Sunny,Monday,14.94
MS_S_00027,MS-9808,MSEDCL,Pune,18.504735,73.850259,DC Fast,CHAdeMO,1,09-06-2025 11:56,09-06-2025 12:10,14,56.52,779.41,Commercial,Two-wheeler,Subscription,Hot,Monday,13.79
MS_S_00028,MS-5956,Private-Operator-1,Amravati,20.941949,77.805143,DC Fast,Type-2,3,13-07-2025 17:19,13-07-2025 18:11,52,19.19,394.93,Private,Two-wheeler,UPI,Sunny,Sunday,20.58
MS_S_00029,MS-3546,Reliance BP,Amravati,20.942598,77.794636,AC Slow,CHAdeMO,1,09-07-2025 06:45,09-07-2025 08:42,117,2.3,32.84,Commercial,Two-wheeler,Wallet,Sunny,Wednesday,14.28
MS_S_00030,MS-2512,Private-Operator-2,Mumbai,19.08101,72.884629,AC Slow,Bharat DC-001,1,24-07-2025 08:02,24-07-2025 08:32,30,11.16,159.36,Private,Three-wheeler,Wallet,Sunny,Thursday,14.28
MS_S_00031,MS-8239,Private-Operator-1,Nagpur,21.151661,79.073913,AC Slow,Bharat DC-001,1,06-07-2025 00:07,06-07-2025 00:56,49,3.26,46.59,Private,Two-wheeler,Wallet,Hot,Sunday,14.29
MS_S_00032,MS-3426,AtherGrid,Latur,18.385174,76.573731,AC Slow,CCS,1,03-06-2025 09:23,03-06-2025 13:16,233,8.68,111.45,Private,Four-wheeler,Card,Cool,Tuesday,12.84
MS_S_00033,MS-2684,Reliance BP,Nashik,20.016768,73.798056,DC Fast,Bharat DC-001,1,10-07-2025 23:09,10-07-2025 23:34,25,22.9,496.93,Private,Four-wheeler,UPI,Hot,Thursday,21.7
MS_S_00034,MS-6442,AtherGrid,Nagpur,21.12801,79.071884,DC Fast,CCS,2,18-06-2025 05:50,18-06-2025 06:44,54,10.15,170.32,Private,Four-wheeler,Card,Sunny,Wednesday,16.78
MS_S_00035,MS-8541,Reliance BP,Nashik,19.99776,73.818871,DC Fast,CHAdeMO,1,23-07-2025 07:14,23-07-2025 07:25,11,54.06,1092.01,Commercial,Two-wheeler,UPI,Cloudy,Wednesday,20.2
MS_S_00036,MS-6753,Private-Operator-2,Thane,19.196882,72.987749,AC Slow,Bharat DC-001,1,14-07-2025 17:21,14-07-2025 17:58,37,3.73,48.71,Commercial,Two-wheeler,Wallet,Sunny,Monday,13.06
MS_S_00037,MS-2776,Private-Operator-1,Mumbai,19.085465,72.876243,DC Fast,Bharat DC-001,4,23-06-2025 23:50,24-06-2025 00:20,30,55.32,929.93,Private,Two-wheeler,Card,Sunny,Monday,16.81
MS_S_00038,MS-1727,Private-Operator-2,Thane,19.20937,72.995228,DC Fast,Bharat DC-001,3,01-06-2025 16:59,01-06-2025 17:43,44,21.19,360.44,Private,Two-wheeler,UPI,Cloudy,Sunday,17.01
MS_S_00039,MS-6143,Private-Operator-2,Aurangabad,19.858523,75.346375,AC Slow,Type-2,2,17-07-2025 09:32,17-07-2025 11:21,109,14.11,181.6,Commercial,Two-wheeler,Wallet,Cloudy,Thursday,12.87
MS_S_00040,MS-3085,MSEDCL,Amravati,20.944556,77.790216,AC Slow,Bharat DC-001,4,13-07-2025 12:43,13-07-2025 16:24,221,2.96,34.42,Commercial,Two-wheeler,UPI,Hot,Sunday,11.63
MS_S_00041,MS-5700,MSEDCL,Thane,19.228601,72.988376,DC Fast,Bharat DC-001,2,21-07-2025 18:38,21-07-2025 19:29,51,24.77,391.86,Commercial,Two-wheeler,Card,Sunny,Monday,15.82
MS_S_00042,MS-8752,Private-Operator-2,Amravati,20.948818,77.801711,DC Fast,CCS,3,13-07-2025 02:18,13-07-2025 03:00,42,33.12,613.38,Commercial,Two-wheeler,Card,Cloudy,Sunday,18.52
MS_S_00043,MS-4680,MSEDCL,Thane,19.202843,72.973364,DC Fast,CCS,2,02-06-2025 01:15,02-06-2025 01:55,40,53.95,884.24,Private,Two-wheeler,Card,Cloudy,Monday,16.39
MS_S_00044,MS-9099,AtherGrid,Solapur,17.673625,75.874146,AC Slow,CCS,1,10-06-2025 20:44,10-06-2025 21:15,31,7.52,88.74,Private,Four-wheeler,Card,Hot,Tuesday,11.8
MS_S_00045,MS-9486,AtherGrid,Nagpur,21.147086,79.066645,AC Slow,Type-2,1,06-07-2025 07:58,06-07-2025 08:59,61,12.52,131.71,Commercial,Three-wheeler,Wallet,Sunny,Sunday,10.52
MS_S_00046,MS-9270,AtherGrid,Kolhapur,16.705911,74.230268,DC Fast,Bharat DC-001,1,28-07-2025 05:47,28-07-2025 06:27,40,39.26,514.7,Private,Four-wheeler,Wallet,Sunny,Monday,13.11
MS_S_00047,MS-8939,Private-Operator-2,Amravati,20.896897,77.782729,AC Slow,CCS,2,18-06-2025 14:04,18-06-2025 17:36,212,11.17,165.65,Commercial,Two-wheeler,UPI,Sunny,Wednesday,14.83
MS_S_00048,MS-3471,MSEDCL,Nagpur,21.1559,79.105515,DC Fast,Bharat DC-001,1,15-07-2025 04:45,15-07-2025 05:08,23,29.14,379.4,Commercial,Two-wheeler,Subscription,Sunny,Tuesday,13.02
MS_S_00049,MS-2020,MSEDCL,Solapur,17.695209,75.9145,AC Slow,Bharat DC-001,1,25-06-2025 18:44,25-06-2025 19:19,35,3.19,31.1,Commercial,Two-wheeler,Wallet,Hot,Wednesday,9.75
MS_S_00050,MS-7389,AtherGrid,Thane,19.260743,72.998749,DC Fast,CCS,1,02-07-2025 07:17,02-07-2025 07:54,37,57.52,1241.86,Commercial,Two-wheeler,Subscription,Sunny,Wednesday,21.59
MS_S_00051,MS-8657,MSEDCL,Nagpur,21.154676,79.103693,AC Slow,Type-2,1,29-07-2025 12:37,29-07-2025 15:31,174,5.98,79.53,Private,Three-wheeler,Card,Cloudy,Tuesday,13.3
MS_S_00052,MS-3977,Tata Power,Kolhapur,16.699949,74.218344,AC Slow,CHAdeMO,1,25-06-2025 10:13,25-06-2025 12:39,146,7.88,89.12,Commercial,Two-wheeler,Subscription,Sunny,Wednesday,11.31
MS_S_00053,MS-2341,AtherGrid,Thane,19.247125,72.949383,AC Slow,Type-2,2,18-07-2025 17:03,18-07-2025 19:02,119,9.89,82.28,Private,Four-wheeler,UPI,Sunny,Friday,8.32
MS_S_00054,MS-5051,MSEDCL,Mumbai,19.079981,72.865696,AC Slow,Type-2,3,10-07-2025 04:15,10-07-2025 05:17,62,10.22,93.41,Private,Two-wheeler,Card,Sunny,Thursday,9.14
MS_S_00055,MS-5198,Reliance BP,Kolhapur,16.73672,74.218544,AC Slow,CCS,2,09-07-2025 19:47,09-07-2025 23:20,213,14.16,170.34,Private,Four-wheeler,UPI,Sunny,Wednesday,12.03
MS_S_00056,MS-1420,Reliance BP,Latur,18.41462,76.548146,AC Slow,Bharat DC-001,2,26-06-2025 22:12,26-06-2025 23:01,49,14.18,151.73,Private,Two-wheeler,Wallet,Cloudy,Thursday,10.7
MS_S_00057,MS-2983,Private-Operator-1,Latur,18.397213,76.577592,AC Slow,Type-2,1,23-06-2025 17:27,23-06-2025 20:46,199,12.83,104.69,Commercial,Two-wheeler,Subscription,Sunny,Monday,8.16
MS_S_00058,MS-2729,AtherGrid,Kolhapur,16.721257,74.255893,AC Slow,CHAdeMO,2,11-07-2025 14:45,11-07-2025 15:54,69,9.81,138.71,Commercial,Three-wheeler,Subscription,Sunny,Friday,14.14
MS_S_00059,MS-8136,Private-Operator-2,Kolhapur,16.704582,74.245647,AC Slow,CHAdeMO,1,21-06-2025 07:53,21-06-2025 08:45,52,11.51,157.11,Commercial,Two-wheeler,Subscription,Sunny,Saturday,13.65
MS_S_00060,MS-7209,Reliance BP,Latur,18.404646,76.582576,AC Slow,Type-2,2,02-07-2025 10:11,02-07-2025 12:45,154,5.77,83.78,Commercial,Two-wheeler,Wallet,Sunny,Wednesday,14.52
MS_S_00061,MS-1166,Private-Operator-1,Amravati,20.96351,77.77942,DC Fast,CCS,2,06-06-2025 07:46,06-06-2025 08:22,36,10.67,253.2,Private,Three-wheeler,Subscription,Sunny,Friday,23.73
MS_S_00062,MS-1282,Tata Power,Kolhapur,16.711483,74.240697,AC Slow,CHAdeMO,3,15-06-2025 12:44,15-06-2025 14:16,92,6.45,52.12,Commercial,Two-wheeler,Wallet,Sunny,Sunday,8.08
MS_S_00063,MS-6419,Reliance BP,Solapur,17.63978,75.882116,DC Fast,Bharat DC-001,2,18-06-2025 09:16,18-06-2025 09:40,24,39.75,708.74,Private,Two-wheeler,Card,Sunny,Wednesday,17.83
MS_S_00064,MS-4545,Private-Operator-2,Nashik,19.997255,73.771855,DC Fast,Bharat DC-001,2,18-06-2025 23:37,19-06-2025 00:35,58,48.54,1080.99,Commercial,Four-wheeler,Card,Cloudy,Wednesday,22.27
MS_S_00065,MS-4727,Reliance BP,Thane,19.20179,72.971672,AC Slow,CCS,2,20-06-2025 00:45,20-06-2025 03:31,166,7.18,102.03,Private,Four-wheeler,Wallet,Sunny,Friday,14.21
MS_S_00066,MS-9042,Tata Power,Nagpur,21.150699,79.078061,AC Slow,Type-2,2,07-07-2025 09:30,07-07-2025 12:02,152,9.66,84.14,Private,Four-wheeler,Wallet,Sunny,Monday,8.71
MS_S_00067,MS-2869,Tata Power,Kolhapur,16.676038,74.215151,AC Slow,Bharat DC-001,3,02-07-2025 02:36,02-07-2025 05:47,191,10.89,93.33,Private,Two-wheeler,Wallet,Cloudy,Wednesday,8.57
MS_S_00068,MS-5066,Tata Power,Pune,18.506031,73.852431,DC Fast,Bharat DC-001,3,09-07-2025 19:50,09-07-2025 20:39,49,59.23,1290.62,Commercial,Two-wheeler,Subscription,Sunny,Wednesday,21.79
MS_S_00069,MS-8025,Reliance BP,Thane,19.21792,72.958049,DC Fast,Type-2,2,10-07-2025 23:06,11-07-2025 00:04,58,28.33,673.69,Private,Two-wheeler,UPI,Sunny,Thursday,23.78
MS_S_00070,MS-4929,MSEDCL,Nagpur,21.152254,79.071655,AC Slow,Type-2,1,11-06-2025 00:26,11-06-2025 02:51,145,1.79,15.81,Commercial,Two-wheeler,Card,Cloudy,Wednesday,8.83
MS_S_00071,MS-5632,Private-Operator-2,Thane,19.232103,72.970076,DC Fast,Bharat DC-001,2,05-06-2025 21:14,05-06-2025 21:40,26,57.92,977.11,Private,Two-wheeler,Card,Rain,Thursday,16.87
MS_S_00072,MS-5352,MSEDCL,Nagpur,21.150282,79.088452,AC Slow,Type-2,4,04-06-2025 05:50,04-06-2025 07:38,108,1.17,17.3,Commercial,Two-wheeler,Subscription,Cloudy,Wednesday,14.79
MS_S_00073,MS-7594,Reliance BP,Thane,19.247323,72.997285,AC Slow,Bharat DC-001,2,29-06-2025 02:38,29-06-2025 03:18,40,14.57,169.89,Commercial,Three-wheeler,UPI,Hot,Sunday,11.66
MS_S_00074,MS-4750,Private-Operator-2,Pune,18.564196,73.840534,AC Slow,Type-2,2,19-07-2025 21:52,19-07-2025 23:30,98,9.18,131.37,Private,Two-wheeler,Subscription,Cloudy,Saturday,14.31
MS_S_00075,MS-3973,Private-Operator-1,Thane,19.203117,72.981108,AC Slow,Bharat DC-001,1,11-07-2025 15:05,11-07-2025 17:35,150,7.49,78.42,Commercial,Two-wheeler,UPI,Sunny,Friday,10.47
MS_S_00076,MS-6403,AtherGrid,Nagpur,21.164808,79.076662,DC Fast,Bharat DC-001,4,19-06-2025 21:25,19-06-2025 22:23,58,43.4,823.3,Commercial,Two-wheeler,Wallet,Cloudy,Thursday,18.97
MS_S_00077,MS-2899,AtherGrid,Aurangabad,19.849795,75.379929,DC Fast,Type-2,1,13-07-2025 17:29,13-07-2025 18:05,36,55.1,1250.22,Commercial,Three-wheeler,Subscription,Sunny,Sunday,22.69
MS_S_00078,MS-1845,MSEDCL,Kolhapur,16.728589,74.233916,DC Fast,CHAdeMO,3,06-07-2025 04:59,06-07-2025 05:27,28,7.49,92.43,Commercial,Two-wheeler,Card,Sunny,Sunday,12.34
MS_S_00079,MS-6091,Private-Operator-1,Nagpur,21.143509,79.112956,DC Fast,Type-2,1,06-07-2025 13:05,06-07-2025 13:29,24,37.68,638.68,Private,Two-wheeler,UPI,Cool,Sunday,16.95
MS_S_00080,MS-9165,Private-Operator-2,Nagpur,21.145905,79.08914,AC Slow,CHAdeMO,1,03-07-2025 22:17,04-07-2025 00:33,136,1.79,25.15,Commercial,Two-wheeler,Card,Hot,Thursday,14.05
MS_S_00081,MS-4122,Private-Operator-1,Solapur,17.638548,75.903552,DC Fast,CCS,3,26-07-2025 02:17,26-07-2025 03:16,59,51.73,787.33,Commercial,Two-wheeler,Wallet,Rain,Saturday,15.22
MS_S_00082,MS-5634,Private-Operator-2,Mumbai,19.045318,72.903254,DC Fast,CHAdeMO,2,24-07-2025 18:37,24-07-2025 19:29,52,17.58,364.43,Private,Two-wheeler,Subscription,Sunny,Thursday,20.73
MS_S_00083,MS-6446,Private-Operator-1,Aurangabad,19.899786,75.34465,AC Slow,Bharat DC-001,2,30-06-2025 10:55,30-06-2025 12:13,78,8.28,111.03,Private,Two-wheeler,Card,Cool,Monday,13.41
MS_S_00084,MS-1715,Reliance BP,Solapur,17.672808,75.933773,AC Slow,Bharat DC-001,2,16-07-2025 12:24,16-07-2025 15:43,199,13.27,143.58,Private,Two-wheeler,UPI,Rain,Wednesday,10.82
MS_S_00085,MS-9229,Private-Operator-1,Nagpur,21.166968,79.053025,DC Fast,CHAdeMO,1,26-07-2025 03:55,26-07-2025 04:33,38,12.5,152.38,Commercial,Two-wheeler,Card,Sunny,Saturday,12.19
MS_S_00086,MS-3529,Tata Power,Solapur,17.689947,75.907882,AC Slow,Bharat DC-001,1,21-07-2025 08:21,21-07-2025 11:30,189,13.66,142.61,Private,Four-wheeler,Subscription,Cloudy,Monday,10.44
MS_S_00087,MS-8994,Private-Operator-1,Aurangabad,19.842132,75.342189,AC Slow,Type-2,2,10-07-2025 02:15,10-07-2025 05:26,191,13.07,191.48,Commercial,Four-wheeler,UPI,Cloudy,Thursday,14.65
MS_S_00088,MS-2612,Private-Operator-2,Solapur,17.633811,75.919793,AC Slow,Type-2,4,29-06-2025 05:44,29-06-2025 07:30,106,7.9,81.37,Private,Two-wheeler,UPI,Hot,Sunday,10.3
MS_S_00089,MS-6873,Reliance BP,Thane,19.225632,72.959302,AC Slow,Bharat DC-001,1,10-06-2025 07:33,10-06-2025 09:48,135,2.79,25.28,Private,Two-wheeler,UPI,Cloudy,Tuesday,9.06
MS_S_00090,MS-7267,Private-Operator-1,Latur,18.389285,76.570681,AC Slow,CCS,1,02-07-2025 18:09,02-07-2025 19:38,89,13.56,153.5,Commercial,Two-wheeler,UPI,Sunny,Wednesday,11.32
MS_S_00091,MS-5712,Private-Operator-2,Kolhapur,16.702859,74.222595,AC Slow,CCS,1,05-06-2025 14:22,05-06-2025 17:22,180,3.37,33.53,Commercial,Three-wheeler,Subscription,Sunny,Thursday,9.95
MS_S_00092,MS-4263,AtherGrid,Thane,19.204305,72.98238,AC Slow,Bharat DC-001,1,07-06-2025 07:24,07-06-2025 10:20,176,8.05,103.28,Commercial,Four-wheeler,Wallet,Sunny,Saturday,12.83
MS_S_00093,MS-7484,Reliance BP,Mumbai,19.088283,72.89285,DC Fast,Type-2,3,07-07-2025 21:49,07-07-2025 22:46,57,8.36,130.42,Commercial,Four-wheeler,Wallet,Cool,Monday,15.6
MS_S_00094,MS-6772,MSEDCL,Nashik,19.967196,73.817137,AC Slow,CCS,1,10-07-2025 08:43,10-07-2025 12:26,223,6.19,70.5,Private,Three-wheeler,UPI,Rain,Thursday,11.39
MS_S_00095,MS-8222,Tata Power,Thane,19.229831,72.984325,AC Slow,CHAdeMO,2,17-07-2025 04:05,17-07-2025 05:50,105,1.51,14.75,Commercial,Two-wheeler,Card,Sunny,Thursday,9.77
MS_S_00096,MS-6994,Private-Operator-1,Amravati,20.905271,77.783069,AC Slow,CHAdeMO,2,24-07-2025 05:16,24-07-2025 07:49,153,2.5,27.83,Commercial,Three-wheeler,Wallet,Cool,Thursday,11.13
MS_S_00097,MS-8673,Tata Power,Pune,18.507469,73.835069,AC Slow,CCS,1,19-07-2025 07:55,19-07-2025 11:18,203,1.28,13.12,Commercial,Four-wheeler,Wallet,Rain,Saturday,10.25
MS_S_00098,MS-7464,Tata Power,Pune,18.520241,73.886299,AC Slow,CHAdeMO,3,05-07-2025 03:29,05-07-2025 05:33,124,9.31,118.7,Commercial,Two-wheeler,Wallet,Cloudy,Saturday,12.75
MS_S_00099,MS-4830,AtherGrid,Pune,18.499655,73.852893,AC Slow,Type-2,2,10-07-2025 17:20,10-07-2025 20:26,186,9.22,121.89,Private,Three-wheeler,Subscription,Sunny,Thursday,13.22
MS_S_00100,MS-7689,Tata Power,Thane,19.190329,72.989359,AC Slow,CCS,1,03-06-2025 01:19,03-06-2025 03:55,156,10.04,120.48,Private,Four-wheeler,Card,Sunny,Tuesday,12
MS_S_00101,MS-8432,Reliance BP,Solapur,17.648052,75.88912,AC Slow,Bharat DC-001,1,08-07-2025 23:46,09-07-2025 00:55,69,4.44,40.49,Private,Four-wheeler,Subscription,Hot,Tuesday,9.12
MS_S_00102,MS-1536,Private-Operator-2,Thane,19.223709,72.977095,AC Slow,CHAdeMO,3,14-06-2025 14:28,14-06-2025 15:58,90,2.12,24.74,Private,Four-wheeler,Wallet,Hot,Saturday,11.67
MS_S_00103,MS-6876,Tata Power,Amravati,20.925865,77.794108,AC Slow,Bharat DC-001,1,18-06-2025 06:07,18-06-2025 10:07,240,14.57,204.85,Private,Three-wheeler,UPI,Sunny,Wednesday,14.06
MS_S_00104,MS-6464,MSEDCL,Mumbai,19.042612,72.888567,AC Slow,CCS,2,21-07-2025 18:13,21-07-2025 19:00,47,14.01,166.72,Private,Two-wheeler,Card,Hot,Monday,11.9
MS_S_00105,MS-3417,Private-Operator-1,Aurangabad,19.843649,75.344262,DC Fast,Type-2,1,18-06-2025 04:08,18-06-2025 04:52,44,22.8,399.68,Private,Two-wheeler,UPI,Sunny,Wednesday,17.53
MS_S_00106,MS-1243,Reliance BP,Nagpur,21.144478,79.06398,AC Slow,CCS,2,08-07-2025 10:01,08-07-2025 11:15,74,5.04,60.83,Private,Three-wheeler,UPI,Sunny,Tuesday,12.07
MS_S_00107,MS-8802,AtherGrid,Pune,18.540526,73.845162,AC Slow,CHAdeMO,1,03-07-2025 18:06,03-07-2025 20:31,145,5.71,51.05,Private,Three-wheeler,Wallet,Cloudy,Thursday,8.94
MS_S_00108,MS-1510,Tata Power,Kolhapur,16.655567,74.227362,AC Slow,Bharat DC-001,2,25-07-2025 12:27,25-07-2025 15:52,205,11.64,141.66,Commercial,Two-wheeler,UPI,Sunny,Friday,12.17
MS_S_00109,MS-3430,Tata Power,Aurangabad,19.883623,75.33122,AC Slow,CCS,3,18-06-2025 19:40,18-06-2025 22:39,179,12.63,186.42,Commercial,Two-wheeler,Wallet,Cloudy,Wednesday,14.76
MS_S_00110,MS-9282,Private-Operator-1,Kolhapur,16.728356,74.248388,DC Fast,Bharat DC-001,1,07-06-2025 22:07,07-06-2025 22:58,51,8.66,187.32,Private,Two-wheeler,Card,Cloudy,Saturday,21.63
MS_S_00111,MS-6553,AtherGrid,Solapur,17.667789,75.89798,AC Slow,Bharat DC-001,2,27-06-2025 23:06,28-06-2025 00:56,110,3.82,34.95,Commercial,Two-wheeler,Card,Sunny,Friday,9.15
MS_S_00112,MS-2099,Tata Power,Kolhapur,16.729024,74.235138,DC Fast,Type-2,2,06-06-2025 13:06,06-06-2025 14:03,57,24.74,578.92,Private,Two-wheeler,Wallet,Rain,Friday,23.4
MS_S_00113,MS-7730,Reliance BP,Pune,18.520768,73.890229,AC Slow,Bharat DC-001,1,26-07-2025 23:03,27-07-2025 00:46,103,7.48,75.62,Commercial,Two-wheeler,Card,Cloudy,Saturday,10.11
MS_S_00114,MS-8900,MSEDCL,Nagpur,21.150512,79.103617,AC Slow,Type-2,3,23-06-2025 17:23,23-06-2025 18:22,59,6.37,75.17,Private,Four-wheeler,UPI,Rain,Monday,11.8
MS_S_00115,MS-5381,Tata Power,Latur,18.41577,76.552294,AC Slow,CCS,3,18-06-2025 22:48,19-06-2025 00:37,109,9.79,101.23,Commercial,Two-wheeler,Card,Hot,Wednesday,10.34
MS_S_00116,MS-7566,Tata Power,Latur,18.399813,76.543603,AC Slow,CCS,2,18-07-2025 20:01,18-07-2025 20:54,53,13.51,182.66,Private,Two-wheeler,Subscription,Rain,Friday,13.52
MS_S_00117,MS-3578,Reliance BP,Aurangabad,19.88578,75.349973,AC Slow,CHAdeMO,2,17-07-2025 10:49,17-07-2025 13:44,175,1.47,17.63,Private,Two-wheeler,UPI,Cloudy,Thursday,11.99
MS_S_00118,MS-5458,AtherGrid,Pune,18.515003,73.837125,AC Slow,Bharat DC-001,3,02-07-2025 19:28,02-07-2025 21:44,136,2.55,35.52,Private,Two-wheeler,UPI,Sunny,Wednesday,13.93
MS_S_00119,MS-8972,Private-Operator-1,Thane,19.235692,73.005213,DC Fast,CHAdeMO,1,03-06-2025 07:25,03-06-2025 08:13,48,17.61,376.68,Private,Two-wheeler,Card,Sunny,Tuesday,21.39
MS_S_00120,MS-5186,Reliance BP,Nagpur,21.110226,79.118121,DC Fast,CHAdeMO,2,08-06-2025 00:31,08-06-2025 01:28,57,18.85,310.84,Private,Two-wheeler,Card,Sunny,Sunday,16.49
MS_S_00121,MS-6802,Tata Power,Amravati,20.986315,77.781584,AC Slow,Bharat DC-001,3,26-07-2025 23:02,27-07-2025 01:23,141,3.15,38.11,Private,Four-wheeler,Subscription,Sunny,Saturday,12.1
